"sep=,"
ImageUrl,ListingId,StockNumber,RegistrationNumber,VehicleCategory,VehicleSubCategory,Make,Model,Variant,RegistrationYear,PriceFormatted,MileageValue,Status,LastModified,CreateDate,ListDate,Age,PriceRating
https://img.autotrader.co.za/29771905/Crop160x120,27423880,UF8593,,Cars,,Haval,H6,2.0T 4WD Super Luxury,2023,R 479 900,10500,Active,2024/07/02 00:12:14,2024/03/11 09:10:26,2024/03/11 09:10:26,149,Fair Price
https://img.autotrader.co.za/30045618/Crop160x120,27443076,UF8592,,Cars,,Nissan,Navara,2.3D Double Cab 4x4 Stealth Auto,2020,R 439 900,149000,Active,2024/07/02 00:08:16,2024/03/25 16:32:24,2024/03/25 16:32:24,135,Fair Price
https://img.autotrader.co.za/30059233/Crop160x120,27444207,UF8599,,Cars,,Ford,Kuga,1.5T Trend Auto,2020,R 329 900,58000,Active,2024/05/30 16:05:30,2024/03/26 12:28:09,2024/03/26 12:28:09,134,Great Price
https://img.autotrader.co.za/31063511/Crop160x120,27518308,UF8635,,Cars,,Ford,Ranger,2.0Bi-Turbo Double Cab Hi-Rider Wildtrak,2020,R 499 900,78000,Active,2024/07/02 00:13:04,2024/05/21 16:01:09,2024/05/21 16:01:09,78,Fair Price
https://img.autotrader.co.za/31075952/Crop160x120,27519319,NF12532,,Cars,,Ford,Ranger,2.0 Biturbo Supercab Wildtrak 4x4,2024,R 769 900,15000,Active,2024/05/22 11:34:38,2024/05/22 11:34:38,2024/05/22 11:34:38,77,No Rating
https://img.autotrader.co.za/31113543/Crop160x120,27522071,NF12013,,Cars,,Ford,Mustang,5.0 GT/CS California Special Fastback,2023,R 995 900,200,Active,2024/05/30 10:44:50,2024/05/23 16:30:21,2024/05/23 16:30:21,76,Fair Price
https://img.autotrader.co.za/31318263/Crop160x120,27537193,CON,,Cars,,Ford,Ranger,2.0Bi-Turbo Double Cab 4x4 Raptor,2022,R 799 900,49900,Active,2024/07/12 12:04:51,2024/06/05 07:34:34,2024/06/05 07:34:34,63,Fair Price
https://img.autotrader.co.za/31393356/Crop160x120,27542769,UF8658,,Cars,,Ford,EcoSport,1.0 EcoBoost Titanium Auto,2022,R 339 900,5800,Active,2024/07/05 04:03:08,2024/06/07 17:11:47,2024/06/07 17:11:47,61,Fair Price
https://img.autotrader.co.za/31460363/Crop160x120,27547575,UF8661,,Cars,,Ford,Ranger,2.0 Sit Double Cab,2024,R 469 900,50,Active,2024/06/11 17:08:01,2024/06/11 17:08:01,2024/06/11 17:08:01,57,No Rating
https://img.autotrader.co.za/31338951/Crop160x120,27572979,NF3423,,Cars,,Ford,PUMA,1.0T Titanium,2023,R 399 900,5900,Active,2024/07/05 04:12:00,2024/07/01 16:59:33,2024/07/01 16:59:33,37,Great Price
