Stock Number,Make,Model,Specification,Colour,Registration Date,VIN,Odometer,Internet Price
US1752,Ford,Ranger Double Cab ICA,2.0D XLT A/T P/U D/C,White,24/08/2023,AFAPXXMJ2PLL29207,88000.0,439900.0
US1816,Ford,Figo,1.5 Trend 5MT 5DR,Silver,03/12/2021,MAJGXXMTKGMR89268,71000.0,199900.0
US1822,Ford,Ranger Rap Cab,2019 RANGER RAPCAP 3.2 I5 DSL 200PS 6SPD AUTO TRA,White,04/06/2019,AFAGXXMJ2GKE03140,103144.0,399900.0
US1834,Suzuki,SWIFT/ DZIRE,SWIFT 1.2 GA,White,30/11/2023,MBHCZC63S00B16103,9000.0,189900.0
US1835,Ford,Everest,2.0L SPORT 10AT 4X4,Arctic White,16/05/2023,MNBRXXMAWRPK93947,6614.0,909900.0
US1839,Toyota,HILUX 2016 ON,HILUX 2.8 GD-6 RB LEGEND A/T P/U D/C,Sivler,10/08/2020,AHTGA3DDX00978549,120272.0,569900.0
US1845,Ford,Everest,# 2.0 Turbo XLT 10AT 4X2,Whita,30/11/2019,AFAJXXMJWJKJ53115,90000.0,479900.0
US1855,Jumbalaya,COROLLA QUEST,PLUS 1.8,White,04/01/2021,AHTBF8JE101006077,52690.0,0.0
US1856,Mercedes-Benz,GLC,GLC 220d 4MATIC,Artic White,,WDC2539152F726047,61000.0,0.0
US1857,Suzuki,Jimny,1.3 MT,WHITE,04/02/2014,JSAFJB43V00584054,196918.0,0.0
US1858,Suzuki,Swift,1.2 GL MT MC,Silky Silver,23/01/2024,MBHCZC63S00C45284,6000.0,0.0
US1864,Ford,Ranger Double Cab ICA,#2.0L Turbo XLT 4X4 10TA,silver,25/01/2021,AFAPXXMJ2PMJ60047,105018.0,0.0
US1866,Ford,RANGER 2007 - 2022,RANGER 2.0D BI-TURBO WILDTRAK A/T P/U D/C,Arctic White,25/06/2020,AFAPXXMJ2PKU68095,140000.0,0.0
