Stock Number,Make,Model,Specification,Colour,Registration Date,VIN,Odometer,Internet Price
UG5010,Ford,Ranger,2.0D XL HR A/T Super Cab P/U,White,,AFAGXXMJ2GPL51546,796.0,509900.0
UG5034,Mazda,Mazda2,1.5L Dynamic A/T 5dr,Red,03/08/2023,MM6DJ2HAAPW846255,12862.0,294900.0
UG5039,Chrysler,Grand Voyager,LX 2.8 CRD MPV AT Dsl,Black,02/02/2016,2C4RC1D59ER289645,84596.0,239900.0
UG5044,Jeep,Renegade,1.4 TJET Longitude,Blue,07/10/2022,1C4NJCBH6MPN31398,13498.0,314900.0
UG5051,Mazda,Mazda3,1.5 Dynamic 6MT - 5Dr,Soul Red Crystal,23/07/2019,JM6BP2HA6K1100736,71928.0,269900.0
UG5052,ISUZU,D-Max 250,HO Hi-Ride A/T E/Cab,White,04/01/2021,ACVRREHR5K4056102,132522.0,329900.0
UG5055,Suzuki,Swift,1.2 GA MT MC,Silky Silver,09/01/2024,MBHCZC63S00C67761,6654.0,184900.0
UG5061,Kia,Sportage,2.0 Ignite +,Blue,08/11/2019,U5YPG81ALKL626524,64751.0,274900.0
UG5063,Volkswagen,Caravelle,2.0 BiTDi Highline DSG,Grey,23/06/2016,WV2ZZZ7HZGH060411,117961.0,0.0
UG5072,Mazda,Mazda3,1.5 Dynamic 6AT - 5Dr,Race Red,30/09/2019,JM6BP2HAAK1100067,81000.0,0.0
UG5073,Mazda,CX30,2.0 Active Auto 6AT,Soul Red Crystal,13/01/2023,JM6DM2W7AP1201976,19082.0,0.0
UG5074,Mazda,CX-30,2.0 Carbon Edition Auto,Polymetal Grey,24/08/2023,JM6DM2W7AP1202228,5167.0,499900.0
UG5076,ISUZU,D-MAX,250 HO Hi-Ride D/C P/U,White,04/06/2021,ACVNRCHR1K4074115,76853.0,389900.0
UG5078,Mazda,CX5,2.0 CARBON EDITION AUTO,Light Red,27/05/2021,JM6KF2W7AM0661464,79965.0,469900.0
UG5079,Mazda,CX-5,2.0 Active FWD MY15,White,09/11/2016,JM6KE1072H0394992,112935.0,239900.0
UG5082,Mazda,CX5,2.0 Active Auto,White,03/02/2021,JM6KF2W7AM0501752,48096.0,379900.0
UG5084,Mazda,CX5,2.0 Active Auto,Red,20/01/2021,JM6KF2W7AM0501795,87751.0,379900.0
UG5094,Suzuki,Swift,1.2 GA MT MC,Silky Silver,11/01/2024,MBHCZC63S00C90751,2324.0,189900.0
UG5095,Renault,KIGER,1.0 Energy ZEN AMT,Blue,30/10/2021,MEEHBC00700027064,35870.0,229900.0
UG5096,Honda,Accord,2.4 Executive Auto,White,25/02/2013,JHMCU2680DC206694,85663.0,169900.0
UG5098,Volkswagen,AMAROK,3.0 TDi H-Line EX 4MOT A/T D/C P/U,Blue,01/11/2017,WV1ZZZ2HZHA041111,141000.0,529900.0
UG5099,Ford,Everest,3.2 TDCI LMTD AT 4x4,White,20/11/2015,MNBAXXMAWAFJ97699,133006.0,369900.0
UG5100,Volkswagen,AMAROK,2.0 BiTDi Highline 120KW 4MOT D/C,Silver,10/05/2011,WV1ZZZ2HZB8050125,263000.0,0.0
UG5102,Suzuki,Swift,1.2 GA MT MC,White,25/01/2024,MBHCZC63S00C95012,510.0,189900.0
UG5103,Nissan,NP300 Hardbody,2.5TDi MID 4x4 Dsl PU,White,08/06/2018,ADNAPUD22ZR113646,131996.0,0.0
UG5104,Toyota,Hilux,2.4 GD-6 SRX 4X4 P/U D/C,White,26/11/2019,AHTKB8CD802975045,137000.0,0.0
UG5106,Mazda,BT-50  D/C,2.2L6AT4X2 HR SLE W/LRD MY16,Brown,23/05/2017,MM6UR0YD1H0679376,228000.0,0.0
UG5107,Mahindra,XUV300,XUV300 1.5D (W4),White,29/09/2020,MA1NN2ET1K2L59358,99500.0,0.0
UG5108,Volkswagen,Tiguan,1.4 TSI Comfortline DSG (110KW),Silver,19/07/2019,WVGZZZ5NZKW901567,123000.0,419900.0
UG5109,Jeep,Wrangler,3.8 Sahara 2Dr Auto,Red,08/02/2010,1J4AE5D16AL134656,101400.0,0.0
UG5110,Mazda,CX5,2.0L Active Auto FWD MY 18.5,Silver,17/01/2020,JM6KF2W7AL0366891,70000.0,0.0
UG5111,Mitsubishi,Pajero,3.2 Di - Dc GLS A/T,White,28/01/2015,JMYLYV98WFJ000738,232074.0,0.0
