Stock Number,Make,Model,Specification,Colour,Registration Date,VIN,Odometer,Internet Price
UA7288,Ford,Fiesta,1.4 AMBIENTE 5 Dr,Silver,20/01/2017,WF0DXXGAKDGS42768,157000.0,155900.0
UA7295,Ford,Ranger Double Cab ICA,* 2.0L Turbo XL 4x2 6MT,Silver,13/10/2023,AFAPXXMJ2PPD23162,50.0,529900.0
UA7296,Nissan,1.6 P/U S/C,1.6 8V Base + AC Safety (UA7),Claret Red,13/10/2023,ADNUSN1D5U0226128,7.0,254500.0
UA7307,Audi,Q3,35 TFSI S TRONIC,White,23/09/2019,WAUZZZF39K1071629,77442.0,449900.0
UA7317,Nissan,1.6 P/U S/C,8V Base + AC Safety Pack (UA7),White,15/02/2022,ADNUSN1D5U0200618,74219.0,199900.0
UA7318,Kia,SELTOS,1.4T DCT GT-Line,Silver,27/07/2020,MZBET811VLN075853,65500.0,379900.0
UA7325,Nissan,Navara,2.5DDTI SE PLUS A/T D/C P/U,Grey,24/02/2022,ADNCCAD23Z0006290,46500.0,489900.0
UA7326,Nissan,Navara,2.3D LE P/U D/C,White,09/01/2020,MNTCB2D23Z0001774,123229.0,389900.0
UA7329,Volkswagen,Polo Classic,GP 1.6 TRENDLINE,White,13/09/2019,WVWZZZ60ZKT084742,75623.0,199900.0
UA7336,Toyota,HILUX 2016 ON,2.4 GD-6 SRX 4X4 P/U D/C,Bright White,01/06/2018,AHTKB8CD602964187,184000.0,379900.0
UA7337,GWM,P-SERIES,2.0td LS 4X4 A/T D/C P/U,Blue,07/01/2022,LGWDCF192MJ619456,40956.0,479900.0
UA7347,Nissan,Micra,1.2 Visia + Audio 5Dr ,Silver,20/07/2016,MDHFBUK13Z0522641,100051.0,109900.0
UA7355,Nissan,Almera,1.5 Acenta,Grey,24/07/2014,MDHBBAN17Z0508789,110000.0,109900.0
UA7356,Nissan,Qashqai,1.2t Acenta + CVT ,Maroon,13/09/2018,SJNFEAJ11Z2362438,92350.0,249900.0
UA7357,Datsun,Go,1.2 Lux CVT,Bright Silver,20/05/2022,MDHZBAAD0Z0520263,45271.0,189900.0
UA7358,Nissan,1.6 P/U S/C,1.5dCI Base + AC Safety (UB2),White,21/04/2021,ADNUSN365U0190034,141000.0,199900.0
UA7361,ISUZU,D-MAX,D-MAX 250 HO HI-RIDE D/C P/U,White,06/09/2021,ACVNRCHRXK4078986,78019.0,399900.0
UA7366,Ford,Ecosport,1.5TDCi TITANIUM,Alliminium Silver,02/09/2015,MAJAXXMRKAFY54812,158000.0,179900.0
UA7367,Nissan,Almera,1.5 Acenta A/T,White,10/05/2022,MDHBBAN17Z0736091,48163.0,0.0
UA7368,Nissan,1.6 P/U S/C,1.6 8V Base + Safety (UD1),White,03/08/2023,ADNUSN1D5U0220125,7786.0,199900.0
UA7369,Nissan,Magnite,1.0T Acenta Plus CVT,Silver,21/08/2023,MDHFBADD0Z0013773,3395.0,0.0
UA7372,Nissan,Magnite,1.0T Visia M/T,New Silver,04/01/2024,MDHFBADD0Z0018543,11.0,0.0
UA7373,Vw,Polo,1.0 TSI Comfortine,Silver,21/02/2018,AAVZZZAWZJU007522,80000.0,0.0
