Stock Number,Make,Model,Specification,Colour,Registration Date,VIN,Odometer,Internet Price
UE2223,Suzuki,S - Presso,1.0 GL+ MT MC,Silver,05/05/2023,MA3RFL61S00433224,3500.0,169900.0
UE2261,Suzuki,Alto,1.0i GLS MT,Grey,30/03/2010,MA3GFC31S00250633,100947.0,89900.0
UE2265,HAVAL,2018 H2 1.5T,City AT,White,21/06/2018,LGWEE4A44JH900832,47000.0,225900.0
UE2267,Suzuki,Vitara,Brezza 1.5 GLX 5MT,Silver,02/08/2022,MA3NYFJ1S00954892,37000.0,289900.0
UE2270,Suzuki,Super Carry,1.2 Pick Up,White,13/10/2021,MA3EDA53T00203997,75000.0,129900.0
UE2274,SUBARU,FORESTER 2005 - ON,FORESTER 2.5 XS LINEARTRONIC,wHITE,16/01/2019,JF2SJ9KC5JG112318,145000.0,339900.0
UE2283,Fiat,Tipo,1.6 City Life AT,White,03/05/2022,ZFACF8CP9M6V76893,29420.0,249900.0
UE2284,Suzuki,Vitara,Brezza 1.5 GLX 5MT,White,07/02/2022,MA3NYFJ1S00861804,17768.0,279900.0
UE2291,Nissan,X-Trail,1.6dCi SE 4WD,Silver,12/02/2015,JN1TCNT32Z0000288,158499.0,239900.0
UE2292,Suzuki,Vitara,1.6 GL + MT Minor Change,White,17/06/2020,TSMLYD21S00763400,90000.0,259900.0
UE2293,Mahindra,SCORPIO / PIK UP,SCORPIO 2.2 CRDe mHAWK 4X4 P/U S/C,WHITE,19/01/2016,MA1TW4MMNG2011491,69476.0,199900.0
UE2294,Suzuki,Swift,1.2 GA MT MC,Silver,13/01/2023,MBHCZC63S00A71972,2700.0,189900.0
UE2296,Suzuki,Ignis,1.2 GLX MT,Silver,03/05/2018,MA3NFG81S00170697,92178.0,0.0
UE2301,Suzuki,Swift,1.2 GL MT Minor Change,White,16/02/2016,MA3GZC62S00A08813,47008.0,0.0
UE2302,Suzuki,Vitara,1.6 GL+ 5 MT,Silver,15/06/2019,TSMLYD21S00624695,60762.0,0.0
UE2306,Suzuki,Swift,1.2 GL MT MC,White,31/07/2023,MBHCZC63S00C53479,6300.0,0.0
